username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,160000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,53000,https://github.com/junegunn/fzf
sherlock-project,sherlock,42000,https://github.com/sherlock-project/sherlock
sharkdp,bat,41900,https://github.com/sharkdp/bat
BurntSushi,ripgrep,38700,https://github.com/BurntSushi/ripgrep
google,zx,37800,https://github.com/google/zx
wagoodman,dive,37200,https://github.com/wagoodman/dive
jesseduffield,lazygit,36000,https://github.com/jesseduffield/lazygit
chubin,cheat.sh,35500,https://github.com/chubin/cheat.sh
cli,cli,32700,https://github.com/cli/cli
spf13,cobra,32400,https://github.com/spf13/cobra
n8n-io,n8n,31400,https://github.com/n8n-io/n8n
httpie,httpie,28300,https://github.com/httpie/httpie
sharkdp,fd,28000,https://github.com/sharkdp/fd
alebcay,awesome-shell,27700,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,27000,https://github.com/ibraheemdev/modern-unix
acheong08,ChatGPT,26500,https://github.com/acheong08/ChatGPT
angular,angular-cli,26100,https://github.com/angular/angular-cli
tqdm,tqdm,25100,https://github.com/tqdm/tqdm
google,python-fire,24800,https://github.com/google/python-fire
